title,price,rating,reviews
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"₹1,098.00",4.0 out of 5 stars,"56,360 ratings"
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹799.00,4.3 out of 5 stars,"6,887 ratings"
"GRAND PITSTOP GRPack NightWing Anti Theft Backpack With safety flashers for 15.6 inch Laptop Compartment, Light Weight, Quick Access Pockets, Water Resistant Multifunctional Backpack 25 L","₹3,499",4.2 out of 5 stars,"1,052 ratings"
"Arctic Hunter Gaming Backpack Bag for 15.6 inch Laptop, Biking Backpack, Water-Resistant Stylish Semi-Hard Armored Backpack with USB Port for Men and Women Daily Use Students, Black","₹2,491.00",4.4 out of 5 stars,204 ratings
Genie Flamenco2 Casual Backpacks for Women,₹649,4.4 out of 5 stars,"1,633 ratings"
WALKENT Premium 15.6 Inch Laptop Bag Anti-Theft | Waterproof Backpack | External USB | Multiple Pockets | Cushioned Strap | For Office College Men Women - Craft (27ltr),"₹2,421.00",4.1 out of 5 stars,455 ratings
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,₹689,4.1 out of 5 stars,"1,958 ratings"
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹689,3.9 out of 5 stars,"3,853 ratings"
Red Lemon Bange Hard Ironlook Briefcase Laptop Bag Anti-Theft Hard Shell Unisex Laptop Backpack with USB Charging Backpack for Men and Women,"₹4,897",4.4 out of 5 stars,117 ratings
"Safari Omega 30L Laptop Backpack with Raincover, school bag for boys and girls, college bag, office bag, travel bag for men and women, Teal",₹699,4.0 out of 5 stars,158 ratings
ADISA Laptop Backpack 31 Ltrs,₹349,4.0 out of 5 stars,"9,235 ratings"
TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),₹529,3.7 out of 5 stars,"2,774 ratings"
Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women - Brown,₹798,4.4 out of 5 stars,"6,241 ratings"
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹749,4.1 out of 5 stars,"6,680 ratings"
URBAN TRIBE Airborne 30L Convertible Laptop Backpack for Men and Women | Laptop Bag 15.6 inch | Suitcase/Briefcase Style Backpack,"₹1,287",4.1 out of 5 stars,198 ratings
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹799.00,4.3 out of 5 stars,"6,887 ratings"
"GRAND PITSTOP GRPack NightWing Anti Theft Backpack With safety flashers for 15.6 inch Laptop Compartment, Light Weight, Quick Access Pockets, Water Resistant Multifunctional Backpack 25 L","₹3,499",4.2 out of 5 stars,"1,052 ratings"
"Arctic Hunter Gaming Backpack Bag for 15.6 inch Laptop, Biking Backpack, Water-Resistant Stylish Semi-Hard Armored Backpack with USB Port for Men and Women Daily Use Students, Black","₹2,491.00",4.4 out of 5 stars,204 ratings
Genie Flamenco2 Casual Backpacks for Women,₹649,4.4 out of 5 stars,"1,633 ratings"
WALKENT Premium 15.6 Inch Laptop Bag Anti-Theft | Waterproof Backpack | External USB | Multiple Pockets | Cushioned Strap | For Office College Men Women - Craft (27ltr),"₹2,421.00",4.1 out of 5 stars,455 ratings
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,₹689,4.1 out of 5 stars,"1,958 ratings"
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",₹449.00,4.4 out of 5 stars,"5,280 ratings"
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹689,3.9 out of 5 stars,"3,853 ratings"
ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,₹374,3.9 out of 5 stars,"4,292 ratings"
"Arctic Hunter Gaming Backpack Bag for 15.6 inch Laptop, Biking Backpack, Water-Resistant Stylish Semi-Hard Armored Backpack with USB Port for Men and Women Daily Use Students, Black","₹2,491.00",4.4 out of 5 stars,204 ratings
Genie Flamenco2 Casual Backpacks for Women,₹649,4.4 out of 5 stars,"1,633 ratings"
ADISA Laptop Backpack 31 Ltrs,₹349,4.0 out of 5 stars,"9,235 ratings"
